Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,PG,TSLA,V
2007-12-03,5.375492572784424,4.545499801635742,16.953630447387695,40.338504791259766,28.69518280029297,23.686063766479492,0.7335497140884399,44.36705780029297,1.5926669836044312,12.514244079589844
2007-12-04,5.404043674468994,4.7204999923706055,17.019052505493164,40.47552490234375,28.022390365600586,23.57813262939453,0.7328619360923767,44.228294372558594,1.5926669836044312,12.514244079589844
2007-12-05,5.575049877166748,4.6595001220703125,17.376020431518555,40.636390686035156,28.498430252075195,24.5710506439209,0.7709148526191711,44.54208755493164,1.5926669836044312,12.514244079589844
2007-12-06,5.7087931632995605,4.7104997634887695,17.792688369750977,40.689998626708984,29.32990264892578,24.858842849731445,0.7865026593208313,44.76536560058594,1.5926669836044312,12.514244079589844
2007-12-07,5.839527606964111,4.7154998779296875,17.782989501953125,40.32063674926758,29.247356414794922,24.84446144104004,0.776645839214325,44.72916030883789,1.5926669836044312,12.514244079589844
2007-12-10,5.8368239402771,4.651000022888184,17.871299743652344,40.38616180419922,30.097877502441406,25.00994110107422,0.7851275205612183,44.855857849121094,1.5926669836044312,12.514244079589844
2007-12-11,5.666414737701416,4.537499904632568,17.393186569213867,40.24317932128906,29.158519744873047,24.535066604614258,0.786044180393219,44.56017303466797,1.5926669836044312,12.514244079589844
2007-12-12,5.736140727996826,4.564000129699707,17.39691734313965,40.33255386352539,29.291797637939453,24.801280975341797,0.8130941987037659,45.06107711791992,1.5926669836044312,12.514244079589844
2007-12-13,5.765294075012207,4.619999885559082,17.265077590942383,40.433834075927734,29.044269561767578,25.340911865234375,0.7908585071563721,44.89812088012695,1.5926669836044312,12.514244079589844
2007-12-14,5.72201681137085,4.453999996185303,17.163330078125,40.26700973510742,28.688833236694336,25.40567970275879,0.8039246201515198,44.59638214111328,1.5926669836044312,12.514244079589844
2007-12-17,5.5419921875,4.254499912261963,16.64765739440918,40.24317932128906,28.26357078552246,24.743730545043945,0.7628918290138245,44.19810104370117,1.5926669836044312,12.514244079589844
2007-12-18,5.49931526184082,4.3445000648498535,16.750144958496094,40.338504791259766,27.863704681396484,24.995559692382812,0.782376766204834,43.95671844482422,1.5926669836044312,12.514244079589844
2007-12-19,5.503522872924805,4.468999862670898,16.85014533996582,40.10615158081055,27.914480209350586,25.03153419494629,0.7897120118141174,44.04121017456055,1.5926669836044312,12.514244079589844
2007-12-20,5.6264424324035645,4.5289998054504395,17.156614303588867,40.11212921142578,27.501914978027344,25.556766510009766,0.806216835975647,44.167938232421875,1.5926669836044312,12.514244079589844
2007-12-21,5.827805995941162,4.563000202178955,17.330745697021484,40.52914047241211,27.996994018554688,25.945301055908203,0.8059876561164856,44.70503616333008,1.5926669836044312,12.514244079589844
2007-12-24,5.974770545959473,4.55049991607666,17.431245803833008,40.433834075927734,28.453981399536133,26.319442749023438,0.8202003836631775,44.62052917480469,1.5926669836044312,12.514244079589844
2007-12-26,5.979279041290283,4.642499923706055,17.682741165161133,40.24915313720703,28.5238037109375,26.34103012084961,0.8312036991119385,44.68088912963867,1.5926669836044312,12.514244079589844
2007-12-27,5.967859745025635,4.712500095367432,17.431493759155273,40.11212921142578,27.69867515563965,25.880542755126953,0.8055291771888733,44.590354919433594,1.5926669836044312,12.514244079589844
2007-12-28,6.005728244781494,4.722499847412109,17.476022720336914,40.141910552978516,27.457487106323242,25.98845672607422,0.7975060343742371,44.80760192871094,1.5926669836044312,12.514244079589844
2007-12-31,5.953132629394531,4.631999969482422,17.201141357421875,39.73678207397461,27.705028533935547,25.61433219909668,0.7798548936843872,44.30672073364258,1.5926669836044312,12.514244079589844
2008-01-02,5.855756759643555,4.8125,17.0446720123291,39.26614761352539,27.00071907043457,25.340911865234375,0.7567024827003479,43.636871337890625,1.5926669836044312,12.514244079589844
2008-01-03,5.858463287353516,4.760499954223633,17.04815673828125,39.27805709838867,26.815034866333008,25.448833465576172,0.7507427334785461,43.636871337890625,1.5926669836044312,12.514244079589844
2008-01-04,5.4112548828125,4.439499855041504,16.343425750732422,39.22443389892578,26.206768035888672,24.736534118652344,0.687703013420105,43.461875915527344,1.5926669836044312,12.514244079589844
2008-01-07,5.33882474899292,4.440999984741211,16.150636672973633,39.832115173339844,26.469289779663086,24.902023315429688,0.6166402101516724,43.745487213134766,1.5926669836044312,12.514244079589844
2008-01-08,5.146780014038086,4.394000053405762,15.713568687438965,39.879791259765625,25.419225692749023,24.06739616394043,0.6297067403793335,43.860145568847656,1.5926669836044312,12.514244079589844
2008-01-09,5.391721725463867,4.261000156402588,16.2488956451416,40.39212417602539,25.777782440185547,24.779693603515625,0.6622580289840698,43.77566909790039,1.5926669836044312,12.514244079589844
2008-01-10,5.350246906280518,4.2129998207092285,16.08795166015625,40.457645416259766,26.462879180908203,24.7005672454834,0.6485037803649902,43.739479064941406,1.5926669836044312,12.514244079589844
2008-01-11,5.190056800842285,4.053999900817871,15.877002716064453,40.43977355957031,26.161951065063477,24.398365020751953,0.6200787425041199,42.35149383544922,1.5926669836044312,12.514244079589844
2008-01-14,5.373087406158447,4.143499851226807,16.264318466186523,40.48149871826172,26.482093811035156,24.743730545043945,0.6613408327102661,42.417877197265625,1.5926669836044312,12.514244079589844
2008-01-15,5.08035945892334,4.01200008392334,15.862077713012695,40.36829376220703,25.079864501953125,24.46312713623047,0.6127431988716125,42.06182098388672,1.5926669836044312,12.514244079589844
