Date,AAPL,AMD,AMZN,GOOGL,JNJ,JPM,MSFT,PG,TSLA,V
2007-12-03,5.375492095947266,9.65999984741211,4.545499801635742,16.95362663269043,40.3385009765625,28.695175170898438,23.686059951782227,44.3670768737793,1.5926669836044312,12.51424503326416
2007-12-04,5.404042720794678,9.25,4.7204999923706055,17.019052505493164,40.475528717041016,28.022377014160156,23.57813262939453,44.228275299072266,1.5926669836044312,12.51424503326416
2007-12-05,5.575050354003906,8.90999984741211,4.6595001220703125,17.376020431518555,40.63637924194336,28.498409271240234,24.571043014526367,44.54206085205078,1.5926669836044312,12.51424503326416
2007-12-06,5.708791732788086,9.069999694824219,4.7104997634887695,17.79269027709961,40.69000244140625,29.329866409301758,24.85885238647461,44.765357971191406,1.5926669836044312,12.51424503326416
2007-12-07,5.839529991149902,9.050000190734863,4.7154998779296875,17.782989501953125,40.320621490478516,29.24736785888672,24.844453811645508,44.72915267944336,1.5926669836044312,12.51424503326416
2007-12-10,5.836822986602783,9.180000305175781,4.651000022888184,17.87129783630371,40.386165618896484,30.097854614257812,25.009950637817383,44.85586929321289,1.5926669836044312,12.51424503326416
2007-12-11,5.666415214538574,9.069999694824219,4.537499904632568,17.393184661865234,40.243186950683594,29.158504486083984,24.535076141357422,44.560184478759766,1.5926669836044312,12.51424503326416
2007-12-12,5.736142635345459,8.970000267028809,4.564000129699707,17.396915435791016,40.33253479003906,29.29180908203125,24.801294326782227,45.06104278564453,1.5926669836044312,12.51424503326416
2007-12-13,5.765294551849365,8.84000015258789,4.619999885559082,17.265077590942383,40.43383026123047,29.044269561767578,25.34092903137207,44.89812469482422,1.5926669836044312,12.51424503326416
2007-12-14,5.722017288208008,8.430000305175781,4.453999996185303,17.163330078125,40.267024993896484,28.68883514404297,25.405675888061523,44.596378326416016,1.5926669836044312,12.51424503326416
2007-12-17,5.541990756988525,7.949999809265137,4.254499912261963,16.647653579711914,40.243186950683594,28.263565063476562,24.74372673034668,44.19809341430664,1.5926669836044312,12.51424503326416
2007-12-18,5.499314308166504,7.679999828338623,4.3445000648498535,16.750144958496094,40.3385009765625,27.863706588745117,24.995555877685547,43.95671463012695,1.5926669836044312,12.51424503326416
2007-12-19,5.5035223960876465,7.980000019073486,4.468999862670898,16.85014533996582,40.10616683959961,27.914478302001953,25.031536102294922,44.04120635986328,1.5926669836044312,12.51424503326416
2007-12-20,5.626443386077881,7.96999979019165,4.5289998054504395,17.1566162109375,40.112117767333984,27.501930236816406,25.556772232055664,44.16792297363281,1.5926669836044312,12.51424503326416
2007-12-21,5.8278069496154785,7.789999961853027,4.563000202178955,17.330745697021484,40.52915573120117,27.996992111206055,25.945297241210938,44.70502853393555,1.5926669836044312,12.51424503326416
2007-12-24,5.974771022796631,7.769999980926514,4.55049991607666,17.431243896484375,40.43383026123047,28.4539852142334,26.319442749023438,44.62052536010742,1.5926669836044312,12.51424503326416
2007-12-26,5.979281425476074,7.769999980926514,4.642499923706055,17.682741165161133,40.24913787841797,28.523807525634766,26.341039657592773,44.68088150024414,1.5926669836044312,12.51424503326416
2007-12-27,5.967859745025635,7.53000020980835,4.712500095367432,17.431493759155273,40.112117767333984,27.698678970336914,25.880535125732422,44.59036636352539,1.5926669836044312,12.51424503326416
2007-12-28,6.005728244781494,7.320000171661377,4.722499847412109,17.47602081298828,40.141902923583984,27.457490921020508,25.988479614257812,44.80760192871094,1.5926669836044312,12.51424503326416
2007-12-31,5.953134059906006,7.5,4.631999969482422,17.201143264770508,39.736793518066406,27.705034255981445,25.61432456970215,44.30672836303711,1.5926669836044312,12.51424503326416
2008-01-02,5.855757713317871,7.139999866485596,4.8125,17.0446720123291,39.26615905761719,27.000713348388672,25.34092903137207,43.63689041137695,1.5926669836044312,12.51424503326416
2008-01-03,5.858462810516357,6.769999980926514,4.760499954223633,17.04815673828125,39.2780647277832,26.815038681030273,25.4488468170166,43.63689041137695,1.5926669836044312,12.51424503326416
2008-01-04,5.411256790161133,6.25,4.439499855041504,16.343421936035156,39.22443771362305,26.206762313842773,24.736536026000977,43.46186828613281,1.5926669836044312,12.51424503326416
2008-01-07,5.3388261795043945,6.079999923706055,4.440999984741211,16.150638580322266,39.832115173339844,26.469274520874023,24.902015686035156,43.7454948425293,1.5926669836044312,12.51424503326416
2008-01-08,5.1467790603637695,6.0,4.394000053405762,15.713567733764648,39.87976837158203,25.419218063354492,24.067405700683594,43.86016082763672,1.5926669836044312,12.51424503326416
2008-01-09,5.391722202301025,5.53000020980835,4.261000156402588,16.2488956451416,40.39212417602539,25.77777862548828,24.779712677001953,43.775672912597656,1.5926669836044312,12.51424503326416
2008-01-10,5.350245952606201,5.960000038146973,4.2129998207092285,16.08795166015625,40.4576530456543,26.462890625,24.700565338134766,43.73947525024414,1.5926669836044312,12.51424503326416
2008-01-11,5.19005823135376,6.25,4.053999900817871,15.877002716064453,40.43977355957031,26.161956787109375,24.398359298706055,42.351478576660156,1.5926669836044312,12.51424503326416
2008-01-14,5.37308931350708,6.409999847412109,4.143499851226807,16.264318466186523,40.48149490356445,26.48209571838379,24.74372673034668,42.41787338256836,1.5926669836044312,12.51424503326416
2008-01-15,5.0803608894348145,6.119999885559082,4.01200008392334,15.862075805664062,40.36830139160156,25.079872131347656,24.463117599487305,42.06182098388672,1.5926669836044312,12.51424503326416
2008-01-16,4.797850131988525,6.570000171661377,4.017499923706055,15.322270393371582,40.695953369140625,26.526914596557617,23.909103393554688,41.75248336791992,1.5926669836044312,12.51424503326416
